supplier_name,total_water_production_16,total_water_production_15,total_water_production_13,savings_16,savings_15,savings_change,residential_water_usage_mean_16,cc_score
San Juan Water District,1783309914.14279,1204845426.87531,2045265134.82236,-0.12807885697534363,-0.4109099077856447,0.282831050810301,506.7328753320357,6.366732856265468
North Marin Water District,1134200000.0,715000000.0,1102000000.0,0.029219600725952814,-0.3511796733212341,0.38039927404718693,165.57004414755068,4.894750526275551
Santa Fe Irrigation District,1035523249.8633001,763209212.3194001,1257134805.366,-0.17628304821150845,-0.392897874546397,0.21661482633488857,494.66115406585067,4.8177258386036
Bella Vista Water District,1352609273.477,954418829.683,2133349292.569,-0.3659691461738201,-0.5526195203910188,0.1866503742171987,394.37727243045606,3.706677522873305
Folsom  City of,2425963874.015,1835195236.864,2725421335.428,-0.10987565758010526,-0.3266379722620755,0.21676231468197027,247.17060654649734,3.407863504556411
Valley Water Company,353353287.4388,283979518.6305,410344702.0211,-0.13888668307790045,-0.30794886047804326,0.16906217740014282,342.43765512277696,3.128507607202766
San Lorenzo Valley Water District,206498200.0,138808800.0,243345319.0,-0.1514190581163388,-0.4295809733656722,0.2781619152493334,114.24568945293333,2.9731551949292907
Fair Oaks Water District,1240415368.64663,967123776.82173,1586443516.00647,-0.21811564286315802,-0.3903824705614128,0.17226682769825477,278.95559767073604,2.87719433508285
Vaughn Water Company,1330959198.0,1112734671.0,1596587387.0,-0.1663724711612043,-0.30305432695993106,0.13668185579872677,441.5226704800903,2.8720194102563488
Yucaipa Valley Water District,1266950000.0,1029590000.0,1363260000.0,-0.0706468318589264,-0.2447588867860863,0.1741120549271599,262.711075760777,2.8220716285972745
Sacramento County Water Agency,3995933046.0,2943328861.0,4900666998.0,-0.1846144519448534,-0.39940239518392184,0.21478794323906844,168.42664136324734,2.7875026793507467
Oakdale  City of,569760000.0,429010000.0,752900000.0,-0.24324611502191526,-0.4301899322619206,0.18694381724000533,213.84192916525,2.733742082573508
Citrus Heights Water District,1456230027.263,1120277206.026,1889938276.6,-0.22948275862068962,-0.40724137931034476,0.17775862068965514,230.81727444603567,2.700628372195931
Lincoln  City of,1110261000.0,842574000.0,1341560000.0,-0.17241047735472137,-0.37194460180685174,0.19953412445213037,179.47664562042067,2.6731365969941363
Nevada Irrigation District,1134100000.0,882350000.0,1392400000.0,-0.18550703820741166,-0.3663099683998851,0.18080293019247345,217.71237586099434,2.6677616382908216
Discovery Bay Community Services District,356000000.0,274000000.0,445000000.0,-0.2,-0.3842696629213483,0.18426966292134828,199.802826182006,2.6046816766693803
Rainbow Municipal Water District,625406643.8411,436673497.32269996,1200860263.9231,-0.4792011505169186,-0.636366103166635,0.15716495264971642,271.04067449988133,2.5874558060209325
Ramona Municipal Water District,509631631.82799995,376358398.185,639320499.774,-0.2028542303771663,-0.41131498470948014,0.20846075433231384,151.401752751036,2.5650140978958555
Golden State Water Company Cordova,1535053487.4543,1198155697.079,1939141842.0770001,-0.20838514535372216,-0.382120651991262,0.17373550663753984,216.90012892022864,2.5586948213020015
El Dorado Irrigation District,4449501235.684999,3569702382.785,5257612774.645,-0.15370312984195866,-0.32104121475054237,0.1673380849085837,231.34419402404265,2.545212788678547
Orange Vale Water Company,496617125.8336201,398317525.85053,670012445.68313,-0.2587941775808655,-0.4055072731605542,0.1467130955796887,274.96159140429904,2.432791540445504
Las Virgenes Municipal Water District,2162350069.572,1712023397.4580002,2584001816.11,-0.16317780580075666,-0.337452711223203,0.1742749054224463,189.944868911757,2.4018652497956277
Roseville  City of,3381686109.4059997,2568947480.1826,4179696254.1289997,-0.19092539175177362,-0.38537460045217115,0.19444920870039753,147.56254534540633,2.362078078340362
Carmichael Water District,1020000000.0,826780000.0,1317390000.0,-0.2257418076651561,-0.3724105997464684,0.14666879208131228,259.05513809608533,2.36066206176802
Georgetown Divide Public Utilities District,207157000.0,165113000.0,262067000.0,-0.20952657144928588,-0.36995882732278385,0.16043225587349796,208.02475571465968,2.313924586045737
Golden State Water Company Claremont,955885161.1045,729190323.3406,1315397040.5135999,-0.27331054300435975,-0.4456500198176773,0.17233947681331757,177.2688713428603,2.2945684086733866
